t,x
5.4135924607, -0.3847931840
5.4145349385, -0.3856013627
5.4154774163, -0.3864102196
5.4164198941, -0.3872197541
5.4173623719, -0.3880299657
5.4183048496, -0.3888408539
5.4192473274, -0.3896524180
5.4201898052, -0.3904646575
5.4211322830, -0.3912775719
5.4220747608, -0.3920911607
5.4230172386, -0.3929054233
5.4239597164, -0.3937203592
5.4249021942, -0.3945359678
5.4258446720, -0.3953522485
5.4267871498, -0.3961692009
5.4277296276, -0.3969868244
5.4286721054, -0.3978051183
5.4296145832, -0.3986240823
5.4305570610, -0.3994437156
5.4314995388, -0.4002640179
5.4324420166, -0.4010849884
5.4333844944, -0.4019066268
5.4343269722, -0.4027289323
5.4352694500, -0.4035519045
5.4362119278, -0.4043755429
5.4371544056, -0.4051998468
5.4380968834, -0.4060248157
5.4390393612, -0.4068504490
5.4399818390, -0.4076767462
5.4409243168, -0.4085037068
5.4418667945, -0.4093313302
5.4428092723, -0.4101596157
5.4437517501, -0.4109885630
5.4446942279, -0.4118181713
5.4456367057, -0.4126484402
5.4465791835, -0.4134793690
5.4475216613, -0.4143109573
5.4484641391, -0.4151432045
5.4494066169, -0.4159761099
5.4503490947, -0.4168096731
5.4512915725, -0.4176438935
5.4522340503, -0.4184787705
5.4531765281, -0.4193143035
5.4541190059, -0.4201504920
5.4550614837, -0.4209873355
5.4560039615, -0.4218248332
5.4569464393, -0.4226629848
5.4578889171, -0.4235017896
5.4588313949, -0.4243412470
5.4597738727, -0.4251813566
5.4607163505, -0.4260221176
5.4616588283, -0.4268635296
5.4626013061, -0.4277055919
5.4635437839, -0.4285483041
5.4644862617, -0.4293916655
5.4654287395, -0.4302356755
5.4663712172, -0.4310803337
5.4673136950, -0.4319256393
5.4682561728, -0.4327715920
5.4691986506, -0.4336181909
5.4701411284, -0.4344654357
5.4710836062, -0.4353133257
5.4720260840, -0.4361618603
5.4729685618, -0.4370110390
5.4739110396, -0.4378608612
5.4748535174, -0.4387113263
5.4757959952, -0.4395624338
5.4767384730, -0.4404141830
5.4776809508, -0.4412665734
5.4786234286, -0.4421196043
5.4795659064, -0.4429732753
5.4805083842, -0.4438275858
5.4814508620, -0.4446825351
5.4823933398, -0.4455381226
5.4833358176, -0.4463943479
5.4842782954, -0.4472512102
5.4852207732, -0.4481087091
5.4861632510, -0.4489668440
5.4871057288, -0.4498256142
5.4880482066, -0.4506850191
5.4889906844, -0.4515450583
5.4899331621, -0.4524057310
5.4908756399, -0.4532670368
5.4918181177, -0.4541289749
5.4927605955, -0.4549915449
5.4937030733, -0.4558547462
5.4946455511, -0.4567185781
5.4955880289, -0.4575830401
5.4965305067, -0.4584481316
5.4974729845, -0.4593138519
5.4984154623, -0.4601802006
5.4993579401, -0.4610471769
5.5003004179, -0.4619147804
5.5012428957, -0.4627830103
5.5021853735, -0.4636518662
5.5031278513, -0.4645213475
5.5040703291, -0.4653914534
5.5050128069, -0.4662621835
5.5059552847, -0.4671335372
5.5068977625, -0.4680055138
5.5078402403, -0.4688781127
5.5087827181, -0.4697513334
5.5097251959, -0.4706251752
5.5106676737, -0.4714996377
5.5116101515, -0.4723747200
5.5125526293, -0.4732504217
5.5134951071, -0.4741267422
5.5144375848, -0.4750036808
5.5153800626, -0.4758812370
5.5163225404, -0.4767594101
5.5172650182, -0.4776381996
5.5182074960, -0.4785176048
5.5191499738, -0.4793976252
5.5200924516, -0.4802782601
5.5210349294, -0.4811595089
5.5219774072, -0.4820413711
5.5229198850, -0.4829238459
5.5238623628, -0.4838069329
5.5248048406, -0.4846906314
5.5257473184, -0.4855749408
5.5266897962, -0.4864598605
5.5276322740, -0.4873453899
5.5285747518, -0.4882315284
5.5295172296, -0.4891182753
5.5304597074, -0.4900056301
5.5314021852, -0.4908935921
5.5323446630, -0.4917821608
5.5332871408, -0.4926713354
5.5342296186, -0.4935611155
5.5351720964, -0.4944515004
5.5361145742, -0.4953424895
5.5370570520, -0.4962340821
5.5379995297, -0.4971262777
5.5389420075, -0.4980190756
5.5398844853, -0.4989124753
5.5408269631, -0.4998064761
5.5417694409, -0.5007010773
5.5427119187, -0.5015962784
5.5436543965, -0.5024920788
5.5445968743, -0.5033884778
5.5455393521, -0.5042854749
5.5464818299, -0.5051830693
5.5474243077, -0.5060812606
5.5483667855, -0.5069800479
5.5493092633, -0.5078794309
5.5502517411, -0.5087794087
5.5511942189, -0.5096799808
5.5521366967, -0.5105811466
5.5530791745, -0.5114829055
5.5540216523, -0.5123852568
5.5549641301, -0.5132881999
5.5559066079, -0.5141917341
5.5568490857, -0.5150958590
5.5577915635, -0.5160005737
5.5587340413, -0.5169058777
5.5596765191, -0.5178117705
5.5606189969, -0.5187182512
5.5615614747, -0.5196253194
5.5625039524, -0.5205329744
5.5634464302, -0.5214412156
5.5643889080, -0.5223500422
5.5653313858, -0.5232594538
5.5662738636, -0.5241694497
5.5672163414, -0.5250800292
5.5681588192, -0.5259911917
5.5691012970, -0.5269029366
5.5700437748, -0.5278152632
5.5709862526, -0.5287281709
5.5719287304, -0.5296416592
5.5728712082, -0.5305557273
5.5738136860, -0.5314703745
5.5747561638, -0.5323856004
5.5756986416, -0.5333014042
5.5766411194, -0.5342177853
5.5775835972, -0.5351347431
5.5785260750, -0.5360522769
5.5794685528, -0.5369703861
5.5804110306, -0.5378890701
5.5813535084, -0.5388083282
5.5822959862, -0.5397281598
5.5832384640, -0.5406485642
5.5841809418, -0.5415695408
5.5851234196, -0.5424910889
5.5860658973, -0.5434132080
5.5870083751, -0.5443358974
5.5879508529, -0.5452591564
5.5888933307, -0.5461829843
5.5898358085, -0.5471073807
5.5907782863, -0.5480323447
5.5917207641, -0.5489578758
5.5926632419, -0.5498839733
5.5936057197, -0.5508106366
5.5945481975, -0.5517378650
5.5954906753, -0.5526656579
5.5964331531, -0.5535940146
5.5973756309, -0.5545229345
5.5983181087, -0.5554524170
5.5992605865, -0.5563824613
5.6002030643, -0.5573130669
5.6011455421, -0.5582442330
5.6020880199, -0.5591759591
5.6030304977, -0.5601082445
5.6039729755, -0.5610410886
5.6049154533, -0.5619744906
5.6058579311, -0.5629084500
5.6068004089, -0.5638429660
5.6077428867, -0.5647780381
5.6086853645, -0.5657136656
5.6096278422, -0.5666498478
5.6105703200, -0.5675865841
5.6115127978, -0.5685238737
5.6124552756, -0.5694617162
5.6133977534, -0.5704001108
5.6143402312, -0.5713390568
5.6152827090, -0.5722785536
5.6162251868, -0.5732186005
5.6171676646, -0.5741591970
5.6181101424, -0.5751003422
5.6190526202, -0.5760420356
5.6199950980, -0.5769842765
5.6209375758, -0.5779270643
5.6218800536, -0.5788703983
5.6228225314, -0.5798142777
5.6237650092, -0.5807587021
5.6247074870, -0.5817036706
5.6256499648, -0.5826491827
5.6265924426, -0.5835952377
5.6275349204, -0.5845418348
5.6284773982, -0.5854889736
5.6294198760, -0.5864366532
5.6303623538, -0.5873848730
5.6313048316, -0.5883336324
5.6322473094, -0.5892829307
5.6331897872, -0.5902327673
5.6341322649, -0.5911831414
5.6350747427, -0.5921340523
5.6360172205, -0.5930854996
5.6369596983, -0.5940374823
5.6379021761, -0.5949900000
5.6388446539, -0.5959430519
5.6397871317, -0.5968966373
5.6407296095, -0.5978507557
5.6416720873, -0.5988054062
5.6426145651, -0.5997605883
5.6435570429, -0.6007163013
5.6444995207, -0.6016725444
5.6454419985, -0.6026293171
5.6463844763, -0.6035866187
5.6473269541, -0.6045444484
5.6482694319, -0.6055028057
5.6492119097, -0.6064616898
5.6501543875, -0.6074211000
5.6510968653, -0.6083810358
5.6520393431, -0.6093414963
5.6529818209, -0.6103024810
5.6539242987, -0.6112639892
5.6548667765, -0.6122260202
5.6558092543, -0.6131885732
5.6567517321, -0.6141516477
5.6576942098, -0.6151152429
5.6586366876, -0.6160793583
5.6595791654, -0.6170439930
